reference_number,watch_URL,brand,parent_model,specific_model,nickname,marketing_name,currency,price,image_URL,made_in,case_material,diameter,between_lugs,case_thickness,water_resistance,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description
B313/04281 - 313.200.87/0F01 HS10,https://www.corum-watches.com/collections/golden-bridge/avant-garde/b313_04281-titanium-diamonds,Corum,Golden Bridge collection,Golden Bridge Avant-Garde,Titanium And Diamonds,Limited edition: 25,USD,50600.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Avant-Garde/Golden-Bridge-Automatic-B313_04281.png,Switzerland," Titanium grade 5 with black DLC treatment, 72 round diamonds, ~ 0.97 ct",  37.20 x 51.80 mm,20/18 mm,  13.70 mm,  30 meters / 3 ATM,Alligator leather ,Black,Triple-blade folding clasp,Automatic,CO 313,40 hours,"4 Hz, 28’800 vph",26,"Hour, minute","In celebration of the 10th anniversary of the Automatic Golden Bridge, Corum takes another leap, unveiling a new Automatic Golden Bridge series with Avant-Garde case that delivers sweeping views of the meticulously finished movement.  
The tonneau-shaped case offers a dramatic view of the movement thanks to the panoramic sapphire crystal and case back in a larger size."
B313/04280 - 313.200.77/0F01 HS15,https://www.corum-watches.com/collections/golden-bridge/avant-garde/b313_04280-titanium-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Avant-Garde,Titanium - Gold And Diamonds,Limited edition: 100,USD,58300.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Avant-Garde/Golden-Bridge-Automatic-B313_04280.png,Switzerland," Titanium grade 5 with black DLC  treatment and 5N 18K rose gold, 72 round diamonds, ~ 0.97 ct",  37.20 x 51.80 mm,20/18 mm,  13.70 mm,  30 meters / 3 ATM,Alligator leather ,Black,Triple-blade folding clasp,Automatic,CO 313,40 hours,"4 Hz, 28’800 vph",26,"Hour, minute","In celebration of the 10th anniversary of the Automatic Golden Bridge, Corum takes another leap, unveiling a new Automatic Golden Bridge series with Avant-Garde case that delivers sweeping views of the meticulously finished movement.  
The tonneau-shaped case offers a dramatic view of the movement thanks to the panoramic sapphire crystal and case back in a larger size."
B313/04279 - 313.200.86/0F01 HS15,https://www.corum-watches.com/collections/golden-bridge/avant-garde/b313_04279-titanium-gold,Corum,Golden Bridge collection,Golden Bridge Avant-Garde,Titanium And Gold,Limited edition: 150,USD,53130.0,https://www.corum-watches.com/wp-content/uploads/Golden-Bridge-Automatic-B313_04279_1300x1300.png,Switzerland," Titanium grade 5 with black DLC  treatment, 5N 18K rose gold",  37.20 x 51.80 mm,20/18 mm,  13.70 mm,  30 meters / 3 ATM,Alligator leather ,Black,Triple-blade folding clasp,Automatic,CO 313,40 hours,"4 Hz, 28’800 vph",26,"Hour, minute","In celebration of the 10th anniversary of the Automatic Golden Bridge, Corum takes another leap, unveiling a new Automatic Golden Bridge series with Avant-Garde case that delivers sweeping views of the meticulously finished movement.  
The tonneau-shaped case offers a dramatic view of the movement thanks to the panoramic sapphire crystal and case back in a larger size."
B313/04278 - 313.200.95/0F01 HS10,https://www.corum-watches.com/collections/golden-bridge/avant-garde/b313_04278-titanium,Corum,Golden Bridge collection,Golden Bridge Avant-Garde,Titanium,Limited edition: 50,USD,43120.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Avant-Garde/Golden-Bridge-Automatic-B313_04278.png,Switzerland, Titanium grade 5 with black DLC treatment,  37.20 x 51.80 mm,20/18 mm,  13.70 mm,  30 meters / 3 ATM,Alligator leather ,Black,Triple-blade folding clasp,Automatic,CO 313,40 hours,"4 Hz, 28’800 vph",26,"Hour, minute","In celebration of the 10th anniversary of the Automatic Golden Bridge, Corum takes another leap, unveiling a new Automatic Golden Bridge series with Avant-Garde case that delivers sweeping views of the meticulously finished movement.  
The tonneau-shaped case offers a dramatic view of the movement thanks to the panoramic sapphire crystal and case back in a larger size."
B113/03853 - 113.358.85/0F02 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_03853-rose-gold-snow-set,Corum,Golden Bridge collection,Golden Bridge Classic, Rose Gold Snow-Set,,USD,81070.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_03853_2000x1300.jpg,Switzerland," 5N 18K rose gold, 314 round diamonds, ~ 2.68 ct, Snow setting finish with various sizes of diamonds",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Brown,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/03854 - 113.358.69/0F01 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_03854-white-gold-snow-set,Corum,Golden Bridge collection,Golden Bridge Classic, White Gold Snow-Set,,USD,89430.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_03854_2000x1300.jpg,Switzerland," 18K white gold, 314 round diamonds, ~ 2.68 ct, Snow setting finish with various sizes of diamonds",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/02890 - 113.160.55/0F02 0000,https://www.corum-watches.com/collections/golden-bridge/classic/b113_02890-rose-gold,Corum,Golden Bridge collection,Golden Bridge Classic, Rose Gold,,USD,47630.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_02890_2000x1300.jpg,Switzerland," 5N 18K rose gold, open back cover, double antireflective sapphire crystal",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Brown,Triple-blade folding clasp,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/01042 - 113.160.59/0001 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_01042-white-gold,Corum,Golden Bridge collection,Golden Bridge Classic, White Gold,,USD,53240.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_01042_2000x1300_2.jpg,Switzerland," 18K white gold, open back cover, double antireflective sapphire crystal",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/01045 - 113.161.85/0002 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_01045-rose-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Classic, Rose Gold Diamonds,,USD,66990.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_01045_2000x1300.jpg,Switzerland," 5N 18K rose gold, open back cover, double antireflective sapphire crystal, 180 round diamonds, ~ 1.05 ct",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Brown,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
B113/01044 - 113.161.69/0001 0000,https://www.corum-watches.com/collections/golden-bridge/classic/B113_01044-white-gold-diamonds,Corum,Golden Bridge collection,Golden Bridge Classic, White Gold Diamonds,,USD,73150.0,https://www.corum-watches.com/wp-content/uploads/Collections/Golden Bridge/Classic/B113_01044_2000x1300.jpg,Switzerland," 18K white gold, open back cover, double antireflective sapphire crystal, 180 round diamonds, ~ 1.05 ct",  34.00 x 51.00 mm,19/18 mm,  11.35 mm,  30 meters / 3 ATM,Alligator leather,Black,Pin buckle,Hand-wound,CO 113,40 hours,"4 Hz, 28’800 vph",19,"Hour, minute","Launched by CORUM in 1980, the Golden Bridge model remains a unique construction in watchmaking, an original creation where the linear movement forms both the calibre and most of the piece's dial. 
Scultural, technical and of rare aesthetic audacity, the baguette movement of the Golden Bridge is unrivalled in the world of Fine Watchmaking."
